gender,race,age,education,church_goer,patriotism,health_insurance,discuss_politics,political_interest,ideology,pid3,pid7,voted,votechoice,obama_muslim,climate_change,cc_caused_by_man,same_sex_wedding,econ_health,birthright_citizenship,build_wall,affirmative_action,corrupt_government,bathroom_policy,gay_marriage,death_penalty,rel_important,rel_daily_guidance,rel_bible_word,rel_attend_church,happy_life
2,1,66,9,1,1,1,1,2,5,2,6,1,2,1,2,3,1,4,3,3,2,3,2,1,1,1,3,2,na,1
2,1,32,12,2,1,2,1,2,3,2,6,1,2,2,2,1,1,4,2,1,2,3,2,1,1,2,na,3,na,3
2,1,56,10,1,1,1,1,2,99,0,5,1,1,2,1,3,2,2,3,2,3,4,1,2,1,2,na,2,na,2
2,1,65,14,1,1,1,2,3,6,0,5,1,2,2,1,1,1,4,2,2,3,3,na,2,2,1,2,1,1,2
1,6,61,8,2,1,1,1,2,7,3,5,1,2,1,2,2,1,4,2,1,3,2,1,2,na,1,2,2,na,2
1,4,34,7,1,2,2,1,4,99,3,5,na,na,1,na,3,2,5,2,1,2,1,1,1,2,2,na,2,na,1
na,1,68,13,1,1,1,2,3,2,3,4,na,na,2,1,2,2,3,2,2,2,4,2,1,1,1,2,2,na,3
2,1,25,9,1,1,1,1,2,99,3,4,1,na,1,1,3,2,5,2,3,3,2,1,1,1,1,3,2,na,1
1,1,73,14,2,4,1,1,1,2,3,3,1,1,2,1,1,2,2,2,2,1,3,2,1,2,1,1,3,na,2
2,1,67,9,1,1,1,1,2,4,3,4,1,na,na,1,1,1,5,1,1,2,2,1,3,1,1,3,1,1,1
2,1,35,14,1,2,1,1,2,2,1,2,0,na,2,2,1,1,2,2,3,2,3,1,1,2,2,na,2,na,2
1,1,64,13,1,na,1,na,na,6,2,7,na,na,na,2,2,1,4,2,1,2,2,1,2,1,1,3,1,1,1
2,1,73,10,1,1,1,1,2,6,2,7,1,2,2,na,2,1,5,3,1,3,3,na,2,1,1,3,1,2,2
1,1,69,13,1,1,1,1,1,7,3,5,1,2,1,2,3,1,5,1,1,1,2,1,3,1,1,3,1,na,3
2,1,41,13,1,4,1,1,4,4,2,6,0,na,na,1,1,2,4,1,1,2,2,1,3,2,1,2,1,2,1
1,1,67,16,1,2,1,1,2,2,1,2,1,1,2,1,3,1,2,2,2,2,4,2,1,2,1,1,2,na,2
2,1,59,9,2,na,2,na,na,99,3,3,na,na,na,1,3,2,4,2,1,1,3,1,1,2,1,3,2,na,4
1,1,54,11,1,1,1,1,1,4,2,7,1,2,1,1,3,1,5,1,3,3,2,1,3,1,1,3,1,2,3
1,5,48,4,2,1,1,1,1,4,3,3,0,na,2,2,1,2,3,3,1,3,4,2,1,2,2,na,1,na,1
2,2,26,10,1,6,1,1,2,2,1,2,1,1,2,1,3,2,3,2,2,1,2,1,1,2,1,2,2,na,3
na,1,na,8,1,1,1,1,2,6,3,5,1,2,1,1,3,1,4,2,1,na,2,na,1,1,1,2,1,na,2
2,1,25,11,1,2,1,2,2,5,2,7,1,2,2,2,3,1,4,3,3,3,2,1,1,1,1,2,2,na,1
2,2,46,13,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,na,1
1,1,59,11,1,1,2,1,1,6,2,7,1,2,1,2,1,1,5,2,1,2,2,1,2,1,1,2,1,1,4
2,1,39,12,1,1,1,1,2,4,3,5,1,2,2,1,2,2,5,1,1,2,2,2,1,1,2,na,3,na,3
2,1,52,13,1,1,1,1,1,3,1,2,1,1,2,1,1,2,2,2,2,1,4,2,1,1,1,2,1,na,2
2,5,29,13,1,1,2,1,3,6,3,4,na,na,2,1,3,1,3,2,2,1,na,1,1,2,1,3,1,1,3
1,1,46,11,1,1,1,1,1,4,3,5,1,2,1,2,3,2,5,1,1,2,2,1,2,1,1,3,1,na,5
1,6,45,95,2,2,1,1,2,2,1,1,0,na,2,1,3,2,3,1,3,1,1,na,1,2,2,na,3,na,3
1,2,64,8,1,na,2,na,na,99,1,2,1,1,na,1,3,1,4,1,1,1,3,1,3,2,1,2,3,na,3
2,1,43,11,1,na,2,na,na,4,3,3,na,na,na,1,3,na,3,2,2,2,2,1,1,2,1,1,1,na,2
2,1,61,14,1,1,1,1,2,2,1,1,1,1,2,1,3,1,3,3,1,2,4,1,2,1,1,3,2,na,2
1,1,30,12,2,na,1,na,na,5,2,6,na,na,na,1,2,1,4,1,3,2,2,na,1,1,2,na,2,na,2
1,1,55,11,1,1,1,1,2,6,2,6,1,2,2,1,3,1,3,2,1,2,3,1,2,1,1,3,2,na,3
2,1,35,16,2,4,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,3,4,2,1,2,2,na,3,na,1
2,1,24,12,2,2,2,2,2,3,3,3,0,na,na,1,1,1,2,1,1,1,3,2,1,1,2,na,3,na,2
2,5,85,2,1,4,1,2,4,99,5,5,1,1,2,1,3,2,2,1,2,2,5,2,1,2,2,na,2,na,4
1,5,61,13,1,2,1,1,2,4,1,1,1,1,2,1,1,na,3,2,2,1,3,1,2,na,1,3,1,na,2
2,1,52,13,1,3,1,2,3,2,1,1,1,1,2,1,1,2,3,2,2,3,4,2,2,2,1,3,2,2,2
1,1,56,9,2,1,1,1,3,99,3,5,na,na,2,1,1,1,3,3,1,3,3,1,1,1,2,na,2,na,4
1,2,68,10,1,2,1,1,2,2,1,1,1,1,2,na,na,2,2,3,3,1,3,na,1,na,1,2,2,na,2
2,2,76,10,1,2,1,2,2,99,1,1,1,1,2,1,2,1,4,1,2,1,2,1,1,2,1,3,1,na,3
1,1,31,13,2,1,1,2,4,4,3,5,1,2,na,1,1,2,5,3,2,3,4,2,1,1,1,1,2,na,1
2,1,19,13,1,1,1,1,3,4,2,6,1,2,2,1,3,2,4,2,2,2,3,1,2,1,1,3,1,1,1
2,1,47,9,1,na,2,na,na,99,1,1,na,na,na,1,3,1,4,3,3,1,3,2,1,1,1,3,1,na,3
2,1,68,11,2,na,1,na,na,4,3,3,na,na,na,1,3,2,4,2,2,2,2,1,1,1,2,na,3,na,4
1,1,57,14,1,4,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,4,2,1,2,1,na,2,na,1
2,1,27,9,2,1,1,2,4,5,3,5,0,na,1,2,2,1,4,3,2,2,3,1,1,1,1,2,2,na,2
2,1,32,9,2,2,1,1,2,5,3,5,0,na,1,1,1,2,4,1,3,1,3,1,1,1,2,na,2,na,2
1,1,45,12,2,4,1,1,1,2,1,1,0,na,2,1,1,2,2,2,2,1,4,2,1,2,2,na,3,na,3
2,5,50,7,1,4,1,1,3,99,1,2,1,1,2,1,1,2,3,2,2,3,2,2,1,2,2,na,1,na,1
2,2,68,14,1,1,1,1,2,2,1,1,1,1,na,1,3,2,2,2,2,1,3,2,3,2,1,1,2,2,2
1,6,60,10,1,1,1,1,1,na,1,1,1,1,1,1,2,1,4,2,2,3,4,1,2,1,1,2,1,na,1
2,5,36,13,2,4,1,1,2,2,3,3,1,1,1,1,1,2,3,2,2,3,3,2,1,2,2,na,3,na,1
2,5,27,7,2,2,1,2,3,99,1,2,1,1,2,1,3,2,2,2,3,2,3,1,1,2,2,na,1,na,3
1,3,na,9,1,1,1,1,2,4,2,6,0,na,1,1,1,2,4,2,2,2,4,1,1,1,1,1,1,1,1
2,1,46,10,1,2,1,1,1,4,3,5,1,2,1,1,3,2,4,2,1,3,3,2,1,2,1,na,1,na,3
1,1,35,10,2,3,2,1,2,3,3,3,1,1,2,1,3,1,4,1,2,3,3,2,1,2,1,1,3,na,3
2,1,44,9,2,2,2,2,4,4,3,5,na,na,2,1,3,2,5,1,2,2,4,1,1,1,1,3,2,na,2
2,2,78,9,1,1,1,2,4,99,1,2,1,1,2,1,2,2,3,2,2,3,3,2,3,2,1,2,3,na,3
1,1,83,13,1,na,1,na,na,6,3,5,na,na,na,1,3,2,3,2,1,3,3,na,1,1,1,3,1,1,1
2,5,65,12,2,3,1,1,2,4,na,na,1,1,2,na,na,na,3,2,2,3,4,2,1,1,1,3,2,na,3
1,1,55,9,1,2,1,1,2,4,1,1,1,1,2,1,1,1,5,2,2,2,1,1,3,1,1,2,2,na,3
2,5,69,13,1,1,1,1,1,99,1,1,1,1,1,2,1,1,4,2,2,1,3,1,1,2,1,3,2,na,2
1,2,55,13,1,4,1,1,1,4,3,3,1,1,2,1,2,2,2,2,2,na,3,2,1,2,2,na,na,na,3
1,1,31,13,1,4,1,1,2,3,0,3,0,na,2,1,1,2,3,2,2,3,2,2,1,2,2,na,3,na,3
1,1,68,14,1,2,1,1,2,2,3,3,1,1,2,1,1,1,4,3,3,2,4,2,1,1,1,3,2,na,1
1,1,42,16,1,2,1,1,1,4,3,5,1,2,2,1,3,1,5,1,3,2,2,1,2,1,1,1,2,na,3
2,1,82,9,1,1,1,1,2,6,2,7,1,2,1,1,3,2,5,2,1,1,2,1,1,1,1,2,1,2,3
2,1,53,10,1,na,1,na,na,7,2,7,na,na,na,2,3,1,4,1,2,2,3,1,3,1,1,3,1,1,2
1,1,65,13,2,na,1,na,na,6,2,7,na,na,na,1,3,1,4,1,1,2,3,na,2,1,1,2,2,na,2
2,2,42,12,1,4,1,2,4,2,1,2,0,na,2,1,3,2,3,2,1,1,3,2,2,2,1,2,1,na,2
1,5,48,9,2,na,1,na,na,4,1,2,na,na,na,1,2,2,2,1,1,1,na,1,1,2,1,1,2,na,3
1,1,30,10,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,4,2,1,1,1,2,1,1,1
2,6,23,13,1,1,1,1,2,5,3,5,1,2,2,2,3,1,4,2,3,2,2,1,3,1,1,3,2,2,2
1,1,51,9,1,2,1,1,3,5,2,6,1,1,2,1,3,2,3,3,2,3,3,2,1,1,1,2,1,na,1
2,1,31,9,2,na,1,na,na,99,2,7,na,na,na,1,3,2,5,3,1,3,1,2,1,1,1,1,2,na,1
1,5,68,4,1,na,1,na,na,4,1,1,na,na,na,1,1,1,2,3,2,1,na,1,3,na,1,3,1,2,2
2,1,66,14,1,4,1,1,2,4,0,4,na,na,na,1,3,1,5,3,2,2,3,na,1,na,na,na,na,na,2
2,1,29,12,1,1,1,2,4,5,2,6,1,2,1,1,3,1,4,3,3,2,2,1,1,1,1,3,2,1,2
2,1,36,13,2,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,3,4,2,1,2,2,na,3,na,1
2,1,47,13,2,1,1,1,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,na,2
1,1,61,9,2,1,1,1,2,5,3,4,1,1,1,1,1,2,3,1,3,1,3,1,1,1,1,1,1,na,2
2,1,26,13,1,3,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,3,2,1,na,2,na,3,na,2
1,1,88,8,2,1,1,2,na,99,2,7,0,na,na,1,1,1,4,2,2,2,na,1,3,1,1,3,1,na,1
2,6,83,3,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,3,1,1,3,2,na,4
1,1,51,13,2,3,1,1,1,3,3,3,1,3,2,1,1,2,3,1,2,2,3,2,1,1,2,na,2,na,2
1,1,36,9,2,3,1,1,3,5,2,6,1,1,2,1,3,2,3,3,2,2,3,2,1,1,2,na,3,na,3
2,1,68,11,1,4,1,1,3,4,3,3,1,1,1,1,3,2,3,3,2,2,4,na,1,2,2,na,3,na,3
1,5,23,9,1,4,2,1,2,4,3,3,na,na,2,1,3,1,4,2,2,1,2,1,3,2,1,3,1,na,1
2,1,34,10,1,1,1,1,3,99,3,5,na,na,2,1,3,2,4,3,3,3,2,1,1,1,2,na,3,na,5
2,1,58,10,1,1,1,1,3,4,3,5,1,2,1,1,3,1,4,1,1,3,3,1,2,1,1,3,3,na,3
1,6,69,13,1,1,1,1,1,5,3,5,1,2,2,1,3,1,2,3,2,3,4,2,2,1,1,2,2,na,4
1,5,19,10,2,2,1,2,4,99,3,3,0,na,2,1,1,2,3,3,2,3,4,2,1,1,1,2,3,na,4
1,5,30,9,1,4,2,1,3,99,1,2,1,1,1,2,1,1,3,2,2,1,4,2,1,2,2,na,2,na,2
2,1,75,9,2,1,1,1,1,4,5,4,1,2,1,1,1,2,4,1,1,2,1,1,1,1,1,1,2,na,5
1,1,50,9,2,1,1,1,3,4,3,5,1,2,2,1,3,2,4,3,1,2,2,2,1,1,2,na,2,na,3
1,5,54,13,1,1,1,1,2,99,1,1,1,1,1,1,3,2,3,1,1,3,4,2,1,1,1,2,2,1,2
2,1,38,9,1,1,1,2,3,99,1,1,na,na,1,1,1,2,2,2,2,2,3,1,1,1,1,2,1,1,2
2,1,27,10,2,1,1,1,2,4,2,6,1,2,1,1,3,2,3,3,1,2,2,1,1,1,1,3,2,na,4
2,1,69,11,2,2,1,2,4,99,0,5,1,2,1,na,3,1,5,2,3,2,2,2,1,1,1,2,2,na,3
2,5,43,11,1,na,1,na,na,5,2,7,na,na,na,2,2,1,3,1,1,2,2,1,1,1,1,3,5,1,2
2,3,33,9,2,1,1,2,4,4,3,5,1,3,2,1,2,1,2,3,3,2,2,2,1,1,2,na,3,na,1
2,1,87,11,1,na,1,na,na,4,0,5,na,na,na,na,3,1,4,3,2,2,4,2,2,2,1,2,2,2,2
1,1,26,9,2,2,1,1,3,6,2,6,na,na,1,1,3,1,4,1,1,2,2,1,3,1,1,2,2,na,2
2,5,34,12,1,2,1,1,2,3,2,6,1,5,2,1,1,1,4,3,2,3,3,2,1,1,1,2,2,2,2
2,1,33,13,1,4,1,1,1,2,3,3,1,1,2,1,1,2,3,3,2,1,3,2,1,2,2,na,2,na,2
1,1,57,10,1,2,1,2,3,6,2,6,1,2,2,1,3,1,3,2,1,3,4,1,2,2,1,3,1,2,3
1,1,27,11,1,3,1,1,2,4,3,5,1,3,2,1,3,1,2,3,3,3,1,na,2,1,1,1,2,na,2
2,5,38,9,2,1,1,1,1,5,3,5,1,2,1,1,3,1,4,1,1,2,2,1,2,1,1,3,1,na,1
1,1,81,9,2,1,1,2,4,99,1,1,1,1,1,1,1,2,4,1,1,1,3,na,1,1,1,1,3,na,5
2,1,51,95,1,1,1,1,3,4,3,3,0,na,na,2,3,1,4,2,3,3,3,2,1,1,1,3,2,na,3
2,1,75,9,1,1,1,1,2,4,3,3,1,1,1,1,3,1,4,3,2,2,3,1,2,1,1,3,1,2,3
2,1,74,11,1,1,1,1,1,4,2,7,1,2,1,1,2,1,4,2,1,2,1,1,1,na,1,3,2,na,2
1,1,43,13,2,3,1,1,2,4,3,3,1,1,2,1,1,2,5,2,2,1,3,2,1,2,2,na,3,na,1
1,1,58,13,1,1,1,1,2,4,1,1,1,1,2,1,1,2,2,3,3,1,4,2,1,2,2,na,3,na,2
2,1,36,13,2,3,1,1,1,1,3,3,1,3,2,1,1,2,5,2,2,2,3,2,1,1,2,na,3,na,4
2,1,23,13,1,1,1,1,3,99,2,6,0,na,1,1,3,2,3,3,2,2,2,2,1,1,1,2,2,1,2
2,1,88,10,2,1,1,1,2,7,2,7,0,na,na,2,2,1,4,3,1,3,3,2,2,1,1,3,1,na,2
2,1,57,9,1,1,1,1,3,5,3,5,1,2,2,1,2,1,2,2,2,2,3,1,3,1,1,3,1,na,1
2,1,59,14,2,2,1,1,2,2,1,1,1,1,2,1,1,1,3,3,2,3,3,2,1,1,2,na,3,na,2
2,1,86,14,1,1,1,1,2,6,2,7,1,2,2,2,3,1,4,1,1,na,3,1,3,2,1,3,1,2,3
1,5,57,9,2,na,1,na,na,1,1,1,na,na,na,1,1,2,3,3,2,2,2,1,1,2,1,3,3,na,3
2,1,84,10,1,1,1,1,3,99,0,4,1,2,na,1,3,1,3,2,1,2,2,na,na,na,1,2,1,1,2
1,5,60,7,2,4,2,1,4,5,1,2,na,na,2,1,3,2,2,2,2,2,2,2,1,2,1,2,1,na,3
1,1,45,13,2,4,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,3,2,1,2,2,na,3,na,3
1,1,30,9,2,na,1,na,na,4,2,7,na,na,na,2,3,1,2,1,2,2,3,1,2,1,1,1,2,na,1
1,1,78,9,1,na,1,na,na,6,3,4,na,na,na,2,3,1,4,1,1,2,2,1,2,1,1,2,2,2,2
2,2,72,13,1,1,1,1,2,5,1,1,1,1,2,1,1,1,4,2,2,1,3,2,3,2,1,3,1,2,1
1,1,36,13,2,3,1,1,2,3,3,3,1,1,2,1,3,1,1,1,3,2,4,2,1,na,na,na,2,na,2
1,1,86,4,2,1,1,2,4,5,1,1,1,1,na,1,3,2,2,2,1,1,3,na,na,1,2,na,1,na,3
na,1,55,13,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,3,2,1,4,2,1,1,2,na,na,na,1
2,1,50,10,1,2,1,1,2,99,3,5,1,3,2,1,3,1,3,1,2,2,4,na,2,1,2,na,2,na,3
1,2,68,9,1,3,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,3,1,1,1,1,1,2,na,2
1,1,69,13,2,2,1,1,2,2,1,1,1,1,2,1,3,2,3,3,2,3,4,2,1,2,2,na,2,na,3
2,1,62,10,1,1,1,1,1,4,3,5,1,2,2,1,2,1,4,2,1,2,2,1,2,1,1,3,2,na,3
1,1,42,11,2,2,1,1,2,4,3,5,na,na,2,1,1,2,3,3,1,3,2,1,1,1,1,2,3,na,3
2,6,42,10,2,1,1,1,2,4,1,2,1,2,1,1,1,2,2,3,2,2,2,1,2,1,2,na,2,na,3
1,1,25,11,1,1,2,1,2,4,3,5,1,3,1,2,2,2,4,2,1,2,3,1,1,1,1,2,3,na,5
1,5,55,11,2,1,1,1,1,6,3,5,1,2,2,1,2,1,4,1,1,2,3,1,2,1,2,na,2,na,3
2,1,76,14,1,4,1,1,1,2,1,1,1,1,1,1,3,1,2,3,2,1,3,2,2,2,1,3,2,2,2
2,1,31,13,2,4,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,4,2,1,2,2,na,3,na,1
1,1,52,8,2,na,2,na,na,99,1,2,na,na,na,2,3,2,5,2,2,1,3,na,3,1,1,3,1,na,1
1,5,35,13,2,4,1,1,2,2,3,3,1,1,2,1,1,1,4,2,2,1,3,2,1,2,2,na,3,na,2
1,2,25,9,1,4,1,1,1,6,1,1,1,1,2,1,2,2,2,3,3,2,4,1,1,1,1,2,1,na,2
2,4,34,9,1,1,1,1,1,6,2,7,1,3,na,1,3,1,4,2,3,2,2,1,1,2,1,3,5,na,3
2,1,38,10,2,3,1,1,2,99,3,4,1,2,na,1,1,1,3,1,1,2,3,na,1,1,2,na,2,na,5
na,1,73,13,1,1,2,1,1,5,3,5,1,2,na,1,2,1,3,3,1,2,4,1,2,2,1,3,2,2,3
2,1,52,14,1,1,1,1,2,4,1,2,1,1,2,1,1,2,2,2,2,1,4,1,2,2,1,3,1,2,2
2,1,66,10,1,na,1,na,na,4,2,7,na,na,na,1,3,1,4,2,1,2,4,2,1,1,1,3,2,na,2
2,1,65,10,2,2,1,1,na,4,1,2,1,1,na,1,3,2,4,3,2,1,4,2,1,1,2,na,1,na,4
2,1,45,13,1,1,1,1,2,5,2,7,1,2,1,2,3,1,5,3,3,2,2,na,2,1,1,2,2,na,2
1,1,59,12,1,2,2,1,2,99,2,7,1,2,1,1,3,2,4,3,1,3,4,na,3,1,2,na,3,na,2
1,5,25,10,1,4,1,1,3,99,3,5,na,na,1,1,1,1,4,2,2,3,2,1,2,1,1,2,2,na,2
2,1,37,14,2,3,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,3,2,1,2,2,na,3,na,2
2,1,66,9,2,1,1,1,2,99,1,1,1,1,2,1,3,2,2,2,2,3,2,1,1,2,1,3,1,na,1
1,1,74,13,1,1,1,1,2,6,2,7,1,2,2,2,3,1,3,3,3,2,2,1,3,2,1,3,1,2,2
1,3,28,13,1,na,1,na,na,4,0,4,na,na,na,1,1,2,2,2,2,1,3,1,1,1,1,1,3,na,1
2,2,57,9,1,1,1,1,1,4,1,1,1,1,2,1,2,2,2,2,1,1,3,1,1,2,1,1,1,na,3
1,1,27,9,1,na,1,na,na,99,0,4,na,na,na,1,3,1,4,3,1,2,4,1,3,1,1,2,1,na,2
1,1,24,12,2,4,1,1,2,3,1,2,1,2,1,2,3,1,4,3,2,3,4,2,1,1,2,na,2,na,2
1,1,23,10,1,1,1,2,2,99,na,5,0,na,2,1,3,2,4,1,1,1,4,2,1,2,1,3,1,na,3
1,1,43,13,2,1,1,1,2,3,3,3,1,2,1,2,1,1,3,1,1,2,3,1,2,2,2,na,3,na,3
2,1,58,13,1,2,1,1,2,4,3,5,1,2,2,1,1,2,4,3,2,2,3,2,1,1,1,2,2,na,2
2,2,42,9,1,1,2,1,2,99,1,1,0,na,na,1,2,2,5,1,2,1,2,1,2,2,1,2,1,na,5
2,4,57,10,2,1,1,1,4,4,1,2,1,1,1,1,3,2,4,3,2,2,3,2,2,1,1,2,2,na,3
2,6,30,4,1,4,2,1,1,5,0,3,1,1,1,2,2,2,2,2,na,2,4,1,3,2,1,3,2,na,4
1,2,69,8,1,na,1,na,na,99,1,2,na,na,na,1,3,2,2,2,2,1,4,2,1,1,1,1,1,na,2
2,1,87,9,1,1,1,1,2,4,2,6,1,2,1,1,2,2,4,3,1,1,4,2,1,1,1,1,1,1,2
1,1,56,12,1,2,1,1,1,6,2,7,1,2,2,1,3,1,4,2,1,2,4,2,2,1,2,na,2,na,4
1,6,18,9,2,na,na,na,na,99,2,6,na,na,na,1,3,2,5,2,2,3,2,1,1,2,2,na,2,na,5
1,1,23,12,2,1,1,1,2,6,2,6,0,na,2,1,1,1,4,2,1,2,3,2,1,1,2,na,3,na,2
1,5,71,12,1,1,1,1,1,6,2,6,1,na,2,1,3,2,4,2,1,1,3,1,2,1,1,2,2,1,2
2,1,19,9,1,4,1,1,1,2,1,1,1,1,2,1,1,1,3,2,2,3,4,2,1,2,2,na,3,na,2
1,1,44,9,1,2,1,1,2,4,3,3,0,na,1,1,3,2,3,3,2,3,4,2,2,1,2,na,2,na,3
2,1,21,11,2,3,2,2,3,4,3,4,na,na,2,1,1,2,3,2,2,2,3,2,1,1,2,na,2,na,3
1,1,67,10,2,2,1,1,3,99,3,3,0,na,2,1,1,1,4,3,2,2,3,1,2,1,1,2,2,na,3
2,5,23,7,1,4,1,1,3,3,3,5,0,na,1,1,3,2,3,3,1,2,3,2,1,1,1,1,1,na,4
2,6,41,13,2,2,1,1,2,3,1,1,0,na,2,1,1,1,2,2,2,1,4,2,1,2,2,na,2,na,3
1,1,49,12,1,na,1,na,na,99,2,7,na,na,na,1,3,1,4,2,2,2,na,1,3,1,1,1,1,na,2
2,1,78,7,1,1,1,1,1,7,2,7,1,2,1,1,3,1,4,2,1,2,2,1,3,1,1,3,1,2,1
2,5,74,13,1,1,1,2,1,6,2,7,na,na,1,2,3,1,5,1,1,2,2,1,3,1,1,2,1,na,2
2,1,40,10,1,na,1,na,na,4,3,4,na,na,na,1,3,2,4,3,3,1,4,2,1,1,1,1,2,na,3
1,1,53,13,2,1,1,1,1,6,3,5,1,3,2,1,1,2,2,2,2,2,3,2,1,1,2,na,3,na,1
1,1,63,12,1,3,1,1,1,7,2,6,1,2,2,1,2,1,5,1,1,1,3,2,3,1,1,3,1,2,1
2,1,65,11,1,1,1,1,1,6,2,7,1,2,2,1,3,1,4,3,1,2,2,1,2,2,1,3,1,1,2
2,1,64,13,1,1,1,2,2,4,2,6,1,2,2,1,3,1,4,1,3,3,4,2,2,1,1,3,2,na,3
1,1,24,14,2,2,1,1,1,6,2,7,1,1,2,1,1,1,3,3,2,3,4,na,1,1,2,na,3,na,2
1,2,50,9,1,1,1,1,3,4,3,3,1,1,2,1,1,1,3,2,2,1,4,1,3,2,1,3,1,na,2
2,2,23,9,1,2,1,1,2,5,5,3,1,3,2,1,1,1,3,3,3,2,2,1,2,2,1,3,1,na,2
1,1,25,13,2,4,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,na,4,2,1,na,2,na,2,na,2
2,1,44,13,1,2,1,1,2,5,3,5,1,5,2,2,3,2,4,3,3,2,3,1,1,1,1,3,2,na,3
2,1,76,14,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,4,2,1,2,2,na,3,na,2
1,1,68,14,1,1,1,1,1,5,3,5,1,5,2,1,2,1,2,1,2,2,4,na,2,1,1,3,2,2,1
2,1,21,10,2,1,2,1,2,4,3,5,0,na,2,2,2,1,3,1,1,3,4,1,1,1,2,na,2,na,1
2,1,67,11,1,1,1,2,4,6,1,2,1,3,na,1,1,1,2,2,2,2,3,1,3,1,1,3,1,2,2
2,1,68,9,1,1,1,1,1,6,2,7,1,2,na,2,3,1,3,1,3,2,4,1,2,1,1,3,2,na,2
2,3,35,14,2,4,1,1,2,1,1,1,1,1,2,1,1,na,3,2,2,3,4,2,1,2,2,na,3,na,3
1,1,61,10,2,1,1,1,2,5,2,6,1,2,2,2,3,1,3,1,1,2,3,1,2,1,2,na,2,na,3
1,1,25,13,2,4,1,1,1,2,1,2,1,1,2,1,1,2,4,2,2,1,2,2,1,2,2,na,3,na,4
